region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,pct_gt25,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,psr_fraction,dist_to_psr_km,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
122,-5710.533444816057,43871.57023411372,0.186875,44.2411,5.4274,3.527,21.3257,0.0,4.3964,3.2161,-3891.8919,1.0,0.0,34.289074,1.0,0.0,0.0,1.0,QUALIFIED
123,-3357.1198224852124,43674.994575936886,1.2675,43.8033,10.5205,3.0869,25.419,0.0005,9.2171,1.8901,-3575.3405,1.0,0.0,32.77027,1.0,0.0,0.0,1.0,QUALIFIED
135,-6067.930555555555,43695.84722222222,0.225,44.1146,10.1411,3.435,19.2638,0.0,9.5475,2.7886,-3869.5239,1.0,0.0,34.088488,1.0,0.0,0.0,1.0,QUALIFIED
169,-5700.386877828052,43399.93438914027,0.138125,43.7721,6.7318,4.1838,21.816,0.0,6.6845,3.8382,-3877.4711,1.0,0.0,33.704636,1.0,0.0,0.0,1.0,QUALIFIED
270,11350.879310344826,42607.137931034486,0.18125,44.0928,6.2766,3.4999,20.6046,0.0,5.4607,2.6566,-310.3623,1.0,0.0,19.995031,0.0052,0.0575,1.0,1.0,QUALIFIED
292,11560.303237858032,42806.78891656289,0.501875,44.3399,9.1139,2.8238,21.5889,0.0,8.0967,1.8137,-343.9464,1.0,0.0,19.519381,0.0053,0.0566,1.0,1.0,QUALIFIED
362,11328.247433264893,41699.883983572894,0.304375,43.2109,5.4505,2.8561,16.6329,0.0,4.8213,2.8376,-300.8342,1.0,0.0,19.591532,0.0137,0.0912,1.0,1.0,QUALIFIED
412,11792.945692883892,41404.058052434455,0.166875,43.0504,8.7266,4.5458,24.9687,0.0,7.5058,3.0358,-367.7997,1.0,0.0,19.196696,0.5696,0.4704,1.0,1.0,QUALIFIED
450,9250.436987584922,41776.37842586086,2.668125,42.7879,10.0405,4.1331,24.6503,0.0,8.6154,3.208,-526.4165,1.0,0.0,20.517569,0.0165,0.11,1.0,1.0,QUALIFIED
459,5629.567567567567,41009.862934362936,0.32375,41.394,7.423,3.7945,21.0181,0.0,6.8146,3.4591,-1127.5012,1.0,0.0,24.667413,0.4536,0.4426,1.0,1.0,QUALIFIED
500,8656.826007326003,40971.56227106227,0.170625,41.8757,4.6931,3.1575,14.8796,0.0,4.06,2.0445,-432.7842,1.0,0.0,21.804945,0.0116,0.0752,1.0,1.0,QUALIFIED
501,12474.704081632648,40727.642857142855,0.153125,42.595,10.0486,4.3273,23.5136,0.0,8.734,2.7203,-253.6049,1.0,0.0,18.211603,0.0193,0.1092,1.0,1.0,QUALIFIED
