region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,pct_gt25,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context,psr_fraction,dist_to_psr_km,illumination_mean,illumination_min,qualification_status,disqualification_reason,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,dfsar_ok,minirf_ok,radar_flag,dfsar_cpr_class,cpr_norm,s1_norm,Radar_Score,radar_data_source,ICE_SPECTRAL_INDICATOR_norm,OH_SPECTRAL_INDICATOR_norm,BD1000_norm,BD2000_norm,Science_Composite,Evidence_Convergence_Count,evidence_band,n_valid_spectral,rank_by_composite_only,rank
15598,417,0.260625,0.4572,2.53,2148.374101,3199.019185,34499.97962,-8233.852518,35.4695,2123,3191,2171,3210,9.5094,3.9306,24.5369,7.4629,2.275,-446.8354,1,0,0.7831,0.3559,417,0.412676,0.400739,0.136546,1,1,0.066314,0.06294,0.018467,1,1,0.001138,-0.002401,-0.002123,0.00075,0.001176,-0.00287,0.001139,-0.001894,417,1,127.1508,86.7202,0,14.935068,,,QUALIFIED,,3.109842,,3.440476,2.662862,TRUE,TRUE,BOTH,normal_low,0.520024399,0.097502762,0.308764,BOTH,0.119955,0.292025,0.218045,0,0.208825,4,HIGH_CONVERGENCE,3,11,1
9163,307,0.191875,0.6463,1.32,1395.560261,3221.140065,35053.00163,10586.49349,36.6171,1383,3213,1408,3232,6.8189,3.6544,18.0353,5.6308,2.3572,-1439.9092,1,0,0.4764,0.4626,307,0.21893,0.193128,0.080005,1,1,,,,0,0,-0.00045,7.40E-05,0.003901,-0.001347,0.003056,-0.002374,0.001021,-0.004162,307,1,31.5436,77.8519,0,2.102974,,,QUALIFIED,,,1.345296,1.776832,5.076396,TRUE,FALSE,CPR_ONLY,normal_low,0.250210981,,0.250211,CPR_ONLY,0.228678,0.150816,0,0.188987,0.192729,4,HIGH_CONVERGENCE,3,15,2
7446,166,0.10375,0.5425,1.06,1223.331325,1742.650602,-1909.23494,14892.21687,15.0135,1214,1736,1232,1753,6.6123,2.6115,17.5791,6.7946,2.2908,-1759.1475,1,0,0.1222,0.2888,166,0.31821,0.309211,0.080158,1,1,,,,0,0,0.001084,-0.004332,0.010156,0.002916,0.002625,-0.001895,-0.002389,-0.004944,166,1,85.0522,75.7671,0,9.28177,,,QUALIFIED,,4.99631,0.712879,1.721905,,TRUE,FALSE,CPR_ONLY,normal_low,0.388469712,,0.38847,CPR_ONLY,0,0.146154,0.350315,0.100145,0.190818,4,HIGH_CONVERGENCE,3,18,3
7454,136,0.085,0.5965,1.58,1229.022059,1671.779412,-3681.014706,14749.94853,15.2017,1221,1666,1240,1678,4.9878,3.1172,19.2114,4.5376,2.3041,-1924.3112,1,0,0.5794,0.4262,136,0.287318,0.275483,0.061102,1,1,,,,0,0,0.002288,0.001719,0.003296,0.001662,0.00466,-0.000203,0.001384,-0.00357,136,1,85.0522,75.7671,0,11.0619,,,QUALIFIED,,0.248689,0.495752,1.043562,3.57948,TRUE,FALSE,CPR_ONLY,normal_low,0.345449076,,0.345449,CPR_ONLY,0.161246,0.088577,0.017437,0.069643,0.178432,4,HIGH_CONVERGENCE,4,28,4
4071,565,0.353125,0.3219,1.15,833.8460177,1303.39823,-12890.54425,24629.34956,27.7981,815,1283,854,1328,9.9458,2.8066,18.849,8.4336,1.5981,-3648.4423,1,0,1,0,565,0.364601,0.338716,0.140639,0.39469,0.39469,0.051239,0.050062,0.005281,1,1,0.002819,7.00E-05,0.002908,-9.50E-05,0.001873,-0.004432,-0.005379,0.000729,565,1,-19.4926,68.1002,0,23.051301,,,QUALIFIED,,0.975168,1.032669,3.366257,,TRUE,TRUE,BOTH,normal_low,0.453074474,0.074304673,0.26369,BOTH,0,0.285726,0.068374,0.145069,0.157596,4,HIGH_CONVERGENCE,3,56,5
7584,342,0.21375,0.6465,1,1229.961988,1613.090643,-5148.233918,14726.45029,15.5998,1218,1602,1241,1625,8.0538,3.8842,18.4398,6.4922,2.3495,-1977.4414,1,0,0.2434,0.3877,342,0.185552,0.18787,0.038275,1,1,,,,0,0,0.009761,0.001527,0.004791,0.001958,0.003544,-0.000892,0.0014,-0.002041,342,1,85.0522,75.7671,0,12.209525,,,QUALIFIED,,0.843561,0.591317,1.251693,2.457857,TRUE,FALSE,CPR_ONLY,normal_low,0.203728307,,0.203728,CPR_ONLY,0.11072,0.106243,0.059146,0.083068,0.129804,4,HIGH_CONVERGENCE,4,116,6
1750,234,0.14625,0.5355,1.21,476.4230769,930.3461538,-22216.84615,33564.92308,40.2509,466,920,485,943,10.1921,3.6787,20.8798,8.3814,1.5002,-1291.3304,1,0,0.0855,0.2429,234,0.659946,0.660095,0.133892,0.123932,0.123932,0.108597,0.109221,0.012049,1,1,0.002361,0.003498,0.002214,0.001299,0.005081,-0.01459,-0.001074,-0.004936,234,1,35.9271,86.4979,0,25.025912,,,QUALIFIED,,-0.481576,0.413279,3.871482,,TRUE,TRUE,BOTH,typical,0.864376095,0.162569748,0.513473,BOTH,0,0.328609,0,0.058057,0.225569,3,MODERATE_CONVERGENCE,3,7,7
8991,490,0.30625,0.4446,1.31,1373.710204,1410.126531,-10222.33673,11132.7449,15.1133,1353,1399,1391,1428,4.4558,2.4147,13.5398,3.7174,1.7489,-2032.2881,1,0,0.9058,0.2626,490,,,,0,0,0.065632,0.064345,0.010232,1,1,0.005644,-0.00021,0.002346,-0.000362,0.001196,-0.010545,-0.006973,-0.008406,490,1,0.5626,56.8385,0,15.484508,,,QUALIFIED,,1.037208,1.154305,9.81689,,FALSE,TRUE,S1_ONLY,no_data,,0.09645327,0.096453,S1_ONLY,0,0.833251,0.072723,0.162157,0.219074,3,MODERATE_CONVERGENCE,3,8,8
10987,201,0.125625,0.6281,1.25,1563.835821,3166.402985,33684.57463,6379.604478,34.2838,1556,3158,1572,3178,5.8636,2.4608,18.1396,4.6902,1.3026,-1771.1849,1,0,1,0,201,0.161722,0.163341,0.022442,1,1,,,,0,0,0.001113,-0.014761,0.000748,-0.000591,0.002237,-0.001564,0.004388,0.000245,201,1,25.3927,84.5067,0,6.640783,,,QUALIFIED,,14.262354,,1.699151,0.944166,TRUE,FALSE,CPR_ONLY,normal_low,0.170542312,,0.170542,CPR_ONLY,0.042532,0.144223,1,0,0.192767,3,MODERATE_CONVERGENCE,3,14,9
19964,449,0.280625,0.6652,1.08,2696.679287,1944.231626,3130.290646,-21941.48218,22.1642,2685,1931,2710,1958,5.6865,2.9218,19.3654,4.9795,2.1213,229.6265,1,0,0.1088,0.2551,449,0.352996,0.346216,0.065054,1,1,0.059442,0.057224,0.019335,1,1,0.002022,0.007333,0.008939,0.001104,-0.00093,-0.004862,0.00132,-0.008527,449,1,147.9055,80.9548,0.024499,0,0.003553,2.40E-05,QUALIFIED,,-2.626607,0.876496,,7.459848,TRUE,TRUE,BOTH,normal_low,0.436913187,0.086927819,0.261921,BOTH,0.336046,0,0,0.12313,0.191703,3,MODERATE_CONVERGENCE,3,16,10
